,city,cloudiness,country,humidity,latitude,longitude,temp_F,windspeed_MPH
0,Manjacaze,0,MZ,91,-24.71,33.88,71.31,7.61
1,Islamkot,0,PK,65,24.7,70.18,65.64,9.95
2,Newport,90,US,43,41.49,-71.31,35.58,6.93
3,Samarai,92,PG,100,-10.62,150.67,79.5,3.8
4,Nikolskoye,90,RU,85,59.7,30.79,21.2,8.95
5,Saint George,90,BM,77,32.38,-64.68,68.0,23.04
6,Puerto Ayora,75,EC,78,-0.74,-90.35,80.6,13.87
7,Rikitea,92,PF,100,-23.12,-134.97,80.85,13.76
8,Esperance,88,AU,77,-33.86,121.89,66.9,14.65
9,Butaritari,8,KI,100,3.07,172.79,82.38,12.64
10,Kununurra,0,AU,74,-15.77,128.74,84.2,4.7
11,Russell,20,NZ,61,-35.26,174.12,72.03,12.64
12,Pavilosta,12,LV,86,56.89,21.19,26.6,4.7
13,Port Elizabeth,0,ZA,87,-33.92,25.57,59.0,4.7
14,Lebu,0,CL,100,-37.62,-73.65,60.15,16.44
15,Dickinson,90,US,74,46.88,-102.79,35.6,4.7
16,Atar,0,MR,38,20.52,-13.05,60.6,6.71
17,Geraldton,0,AU,28,-28.77,114.6,84.2,10.29
18,Kapaa,90,US,83,22.08,-159.32,71.6,16.11
19,San Joaquin,64,BO,87,-16.38,-58.39,79.5,3.36
20,Luba,75,GQ,78,3.46,8.55,80.6,9.17
21,Namibe,56,AO,100,-15.19,12.15,77.97,3.91
22,Ushuaia,0,AR,65,-54.81,-68.31,46.4,12.75
23,Katsuura,90,JP,100,33.93,134.5,41.4,4.7
24,New Norfolk,75,AU,66,-42.78,147.06,51.8,8.05
25,Suntar,0,RU,81,62.16,117.65,14.7,8.16
26,East London,92,ZA,100,-33.02,27.91,72.3,14.99
27,Sovetskiy,36,RU,78,56.76,48.47,12.54,9.4
28,San Pedro,0,AR,60,-33.68,-59.66,66.27,12.41
29,Prince Rupert,75,CA,70,54.32,-130.32,44.6,10.29
30,Georgetown,40,US,93,33.38,-79.29,62.6,3.36
